species	Order	sp	sample_no	Depth	Delta15N	Delta13C	ratio.C.N	Z.dens	C.dens	chla	chlb	chlc	chlca	Host.prot.cont	Tot.Lip.cont	In.cont	Sk.dens
Psammocora_profundacella	Scleractinia	Ps	PS010	5.8	3.113	-16.36586677	6.298109082	235428571.4	40935064.94	1218.781818	243.8597403	361.5662338	0.296661985	121912.5208	0.753246753	0	2.094719125
Psammocora_profundacella	Scleractinia	Ps	PS013	7.5	3.243	-17.76445895	6.407585132	248949152.5	54508474.58	1702.772881	362.9305085	493.9220339	0.290069239	275400.3697	0.644067797	0	0
Stylophora_pistillata	Scleractinia	Sp	SP001	5.5	3.48	-16.31351794	10.1463818	623119266.1	207706422	281.4146789	32.12385321	70.65688073	0.251077453	548222.9006	0.449541284	0	2.532765519
Stylophora_pistillata	Scleractinia	Sp	SP002	4.7	3.494	-15.98111307	9.928375006	590379746.8	143797468.4	468.9898734	47.34810127	123.0227848	0.262314373	203049.9525	0.848101266	0	2.270275781
Stylophora_pistillata	Scleractinia	Sp	SP004	5	3.811	-16.32436482	8.367671631	525853658.5	136585365.9	1234.246341	220.6353659	337.4317073	0.273390891	204522.2635	0.719512195	0	1.928219739
Stylophora_pistillata	Scleractinia	Sp	SP005	5.3	3.949	-15.3917843	9.404301015	468505747.1	168735632.2	399.9241379	60.8137931	165.4183908	0.413624423	206175.9377	0.931034483	0	2.132531949
Stylophora_pistillata	Scleractinia	Sp	SP006	3.4	6.736	-16.41094176	6.413235917	539701492.5	118805970.1	1044.152239	157.6820896	540.0358209	0.517200271	148337.3652	1.388059701	0	1.926995996
Stylophora_pistillata	Scleractinia	Sp	SP007	3.2	6.524	-16.0118107	6.112399863	385882352.9	64941176.47	1557.711765	118.6392157	505.0254902	0.324209845	222027.2655	0.980392157	0	1.791554977
Stylophora_pistillata	Scleractinia	Sp	SP008	3	6.22	-16.25372285	8.053708536	1327698113	159396226.4	1090.3	70.10566038	460.3528302	0.422225837	132530.9122	1.283018868	0	1.728948225
Stylophora_pistillata	Scleractinia	Sp	SP009	3	6.644	-16.30932593	6.161008813	1263428571	200571428.6	770.0214286	7.788571429	330.6557143	0.429411055	221029.6819	1.042857143	0	1.588124551
Stylophora_pistillata	Scleractinia	Sp	SP010	3	6.977	-16.65269982	6.434160669	846451612.9	89032258.06	429.4860215	8.351612903	148.283871	0.345258899	197009.2891	0.559139785	0	1.69114176
Palythoa_tuberculosa	Zoantharia	Pt	PT001	10	6.826	-17.78989307	4.560275887	40866666.67	12133333.33	63.00166667	0	17.46166667	0.27716198	42331.27251	0.866666667	3.483333333	0
Palythoa_tuberculosa	Zoantharia	Pt	PT002	10	6.978	-18.74385291	5.003970489	141333333.3	27809523.81	201.8047619	0	54.76666667	0.271384412	469563.04	2.047619048	5.476190476	0
Palythoa_tuberculosa	Zoantharia	Pt	PT003	10	6.686	-18.65762668	4.825567148	75142857.14	17714285.71	146.6	0	30.2	0.206002729	193817.5438	1.714285714	5.214285714	0
Palythoa_tuberculosa	Zoantharia	Pt	PT004	8	4.224	-16.265066	6.234072165	38367346.94	4755102.041	25.9244898	0	8.16122449	0.314807526	49403.91389	1.204081633	2.959183673	0
Palythoa_tuberculosa	Zoantharia	Pt	PT005	8	4.334	-15.35267506	6.199670935	6904109.589	1534246.575	7.661643836	0.949315068	6.850684932	0.894153406	66379.23842	0.876712329	1.945205479	0
Palythoa_tuberculosa	Zoantharia	Pt	PT006	7.7	5.121	-15.48738109	7.633577789	39829787.23	2723404.255	14.07659574	4.227659574	13.88510638	0.986396614	26628.97843	1.893617021	4.531914894	0
Palythoa_tuberculosa	Zoantharia	Pt	PT007	7.8	4.354	-15.8974338	6.65203992	45882352.94	5725490.196	16.24901961	0	2.515686275	0.154820804	52648.5693	1.803921569	4.019607843	0
Palythoa_tuberculosa	Zoantharia	Pt	PT008	10	4.051	-15.79255016	6.618646768	38190476.19	2761904.762	11.65238095	0	0.219047619	0.018798529	44945.01343	1.333333333	2.738095238	0
Palythoa_tuberculosa	Zoantharia	Pt	PT009	10	4.312	-14.67036181	7.163841956	40156862.75	2745098.039	18.25490196	0	5.505882353	0.301611171	30849.07508	1.392156863	4.352941176	0
Palythoa_tuberculosa	Zoantharia	Pt	PT010	10	3.85	-17.61373418	6.380981652	29714285.71	2642857.143	25.08928571	0	3.821428571	0.152313167	32788.27859	1.464285714	5.267857143	0
